name,pick,season,ftm,fta,3fgm,3fga,rim_made,rim_miss,mid_made,mid_miss,dunks_made,dunks_miss,oreb,dreb,ast,stl,blks,pts,gp,height,rec_rank,mpg,age,tov,sos,team_strength,international,NCAA_possessions_est,NBA_minutes,NBA_seasons,NBA_impact,standard_error
John Wall,1,2010,175,232,37,114,83,63,40,87,33,3,30,129,241,66,19,616,37,76,99.8,34.8,19.3,149,5.8,16.6,0,2245,23891,11,1.3,1
Kyrie Irving,1,2011,64,71,18,39,26,13,11,15,0,0,6,31,47,16,6,192,11,74,99.8,27.5,18.8,27,5.8,19.2,0,559,30330,14,3.6,0.8
Anthony Davis,1,2012,144,203,3,20,56,20,55,88,96,2,119,296,50,54,186,567,40,82,100,32,18.9,41,6.3,20.3,0,2117,29790,14,3.9,0.8
Anthony Bennett,1,2013,117,168,36,94,47,35,56,73,53,5,81,190,31,24,40,537,34,80,99,27.2,19.9,63,4.9,10.1,0,1604,1924,4,-4.1,2.1
Andrew Wiggins,1,2014,176,227,43,126,56,36,54,107,36,4,76,129,54,41,34,597,35,80,100,32.8,18.9,80,8,14.1,0,1965,29333,12,-0.9,0.9
Karl-Anthony Towns,1,2015,109,134,2,8,65,32,56,72,22,2,92,169,44,18,88,401,39,83,99.2,21.1,19.2,53,6.1,25.2,0,1315,25688,11,3.9,0.9
Ben Simmons,1,2016,199,297,1,3,103,56,55,106,56,5,103,285,158,65,27,632,33,82,100,34.9,19.5,111,4.8,4.3,1,2103,13071,7,2.2,1.1
Markelle Fultz,1,2017,109,168,52,126,57,43,86,112,14,1,33,110,148,39,30,579,25,76,99.2,35.7,18.6,80,4,-0.2,0,1636,6433,9,-0.7,1.4
Deandre Ayton,1,2018,140,191,12,35,98,42,79,108,87,2,118,287,57,20,66,704,35,85,99.4,33.5,19.5,69,4.1,10.4,1,2009,15534,8,-0.7,1.1
Zion Williamson,1,2019,130,203,24,71,175,59,25,26,72,7,116,177,68,70,59,746,33,79,99.2,30,18.6,78,8.8,19.7,0,1788,8658,6,2.1,1.3
Anthony Edwards,1,2020,127,165,69,237,62,40,37,85,27,0,23,139,88,42,17,591,31,77,99.8,33,18.5,84,5.4,4.1,0,1838,16953,6,2.4,1.2
Cade Cunningham,1,2021,132,156,62,155,60,39,46,91,7,2,19,148,93,43,21,546,27,80,100,35.4,19.3,110,6.4,8.9,0,1744,9280,5,2.6,1.4
Paolo Banchero,1,2022,137,188,44,130,86,58,74,121,41,3,69,236,124,41,36,671,39,82,99.8,33,19.2,92,5.6,14.7,0,2181,9562,4,1,1.4
Cooper Flagg,1,2025,179,213,52,135,91,80,60,92,36,3,49,228,156,52,50,709,37,81,100,30.7,18.1,78,6.9,23.6,0,1887,2280,1,2.2,2.1
Evan Turner,2,2010,138,182,20,55,84,27,106,152,18,1,62,222,185,54,28,632,31,79,90.8,35.7,21.3,136,6.5,15.5,0,1813,20283,10,-3.2,0.9
Derrick Williams,2,2011,247,331,42,74,79,49,49,69,56,4,105,209,43,37,26,741,38,80,81.4,30,19.7,100,5.9,12.3,0,1907,8882,7,-3.2,1.3
Victor Oladipo,2,2013,97,130,30,68,92,54,25,29,35,1,93,135,74,78,28,491,36,77,73,28.4,20.7,82,7.3,19.5,0,1707,17122,10,0.7,1
Michael Kidd-Gilchrist,2,2012,143,192,13,51,66,41,47,85,34,2,103,194,75,39,37,476,40,79,99.6,31.1,18.3,87,6.1,20.3,0,2062,11010,8,1.4,1.2
Jabari Parker,2,2014,160,214,38,106,63,70,74,119,61,5,105,201,41,37,43,670,35,80,99.4,30.7,18.8,81,6.8,14.7,0,1752,8695,8,-0.7,1.2
D'Angelo Russell,2,2015,118,156,95,231,66,40,66,108,4,0,35,163,175,55,11,675,35,77,97,33.9,18.9,102,6,14.6,0,1951,20205,11,-0.4,0.9
Brandon Ingram,2,2016,116,170,80,195,52,48,65,107,17,0,67,177,71,40,49,624,36,81,99.6,34.6,18.4,72,7.3,12.6,0,2122,19256,10,0,1
Lonzo Ball,2,2017,66,98,80,194,57,23,15,14,37,3,33,183,274,66,28,524,36,78,99.6,35.1,19.2,89,3.7,13.4,0,2335,9623,7,1.7,1.2
Marvin Bagley III,2,2018,131,209,23,58,99,67,54,64,94,4,132,234,50,27,29,694,33,83,100,33.8,18.8,75,6.7,17.9,0,1977,7591,8,-0.9,1.3
Ja Morant,2,2019,211,259,56,152,132,101,34,58,28,3,38,139,308,54,25,759,31,75,0,36.6,19.5,160,-1,9.2,0,2066,11228,7,2.4,1.3
James Wiseman,2,2020,19,27,0,1,8,1,3,3,9,1,13,19,1,1,9,59,3,85,100,23,18.6,3,-0.4,8.3,0,128,2865,5,-5.5,1.8
Chet Holmgren,2,2022,71,99,41,105,48,20,24,26,57,0,57,260,61,26,111,452,32,84,100,26.9,19.7,61,3.6,18.9,0,1581,6265,3,4.7,1.6
Brandon Miller,2,2023,146,170,106,276,62,59,31,62,23,3,76,229,76,33,32,696,37,81,97.2,32.6,20.2,81,7.1,17.5,0,2197,5205,3,0.6,1.6
Dylan Harper,2,2025,126,168,50,150,108,51,25,56,11,0,22,111,117,42,17,564,29,78,99.6,32.6,18.9,70,6.4,5.2,0,1643,1467,1,5,2.3
Derrick Favors,3,2010,86,137,0,1,84,35,40,72,53,3,107,195,33,31,72,440,35,82,100,27.8,19.3,86,7.2,11.8,0,1704,19883,12,-0.3,1
Otto Porter Jr.,3,2013,122,157,43,102,52,28,65,96,8,0,55,177,84,57,28,501,31,80,94,35.4,19.6,47,6.8,12.9,0,1694,14537,11,2.8,1.1
Bradley Beal,3,2012,133,173,63,186,71,46,23,47,18,2,50,199,83,51,31,546,37,75,99.4,34.2,18.6,79,5.8,14.3,0,2060,29302,14,0.9,0.8
Joel Embiid,3,2014,98,143,1,5,50,19,25,40,30,0,65,162,38,25,72,313,28,84,97.4,23.1,19.8,66,8.8,14.1,0,1111,17514,10,5.8,1.1
Jahlil Okafor,3,2015,99,194,0,0,149,54,66,84,64,3,134,188,49,29,54,657,38,83,100,30.1,19.1,95,8,20,0,1888,4741,7,-4.1,1.6
Jaylen Brown,3,2016,142,217,30,102,77,58,35,81,21,4,36,146,67,27,22,498,34,79,99.4,27.6,19.2,105,5.2,10.4,0,1601,25246,10,-0.2,0.9
Jayson Tatum,3,2017,118,139,40,117,61,44,46,76,18,3,39,174,62,39,33,488,29,80,99.4,33.3,18.9,76,8.9,15.1,0,1663,25219,9,4.6,1
RJ Barrett,3,2019,149,224,73,237,128,92,78,126,40,2,59,229,164,34,16,860,38,79,100,35.3,18.6,123,9.3,19.7,0,2439,15039,7,-1,1.1
Evan Mobley,3,2021,134,193,12,40,50,28,72,85,63,3,90,196,79,26,94,540,33,84,99.6,33.9,19.6,74,6.3,14.1,0,1885,11690,5,2.6,1.3
Jabari Smith Jr.,3,2022,131,164,79,187,27,21,63,113,14,1,32,219,67,37,35,576,34,82,99,28.8,18.7,64,5.7,14,0,1741,9237,4,1.1,1.4
Reed Sheppard,3,2024,54,65,75,144,34,20,27,32,5,1,12,124,147,82,23,411,33,75,91.8,28.9,19.6,66,4.8,10.3,0,1764,2752,2,0.6,2
VJ Edgecombe,3,2025,109,140,50,149,43,47,37,59,33,3,65,114,103,66,19,480,32,77,99.4,32.7,19.5,62,9.4,12.3,1,1713,2515,1,1.7,2.1
Wesley Johnson,4,2010,112,145,51,123,56,32,48,87,37,4,75,224,78,58,64,577,35,79,32.2,35,22.3,81,6.8,17.1,0,2168,13528,9,-2.9,1.1
Dion Waiters,4,2012,86,118,41,113,64,51,39,61,26,3,18,67,92,67,12,467,37,76,96,24.1,20.1,48,6.2,16.7,0,1442,12260,8,-1.4,1.1
Tristan Thompson,4,2011,127,261,0,0,48,40,54,98,70,5,138,144,45,34,86,471,36,80,97.8,30.9,19.9,64,6.2,17,0,1880,22807,14,-2.7,0.9
Cody Zeller,4,2013,196,259,0,2,93,84,50,65,56,5,102,188,47,37,45,594,36,84,98.2,29.5,20.3,81,7.5,19.5,0,1777,11852,11,0.6,1.1
Aaron Gordon,4,2014,76,180,16,45,83,59,36,104,54,2,102,201,75,34,39,470,38,80,99.6,31.2,18.4,55,6.5,19.2,0,1898,24178,12,1.5,0.9
Josh Jackson,4,2017,98,173,34,90,74,49,55,94,57,10,81,177,104,59,37,572,35,80,100,30.8,19.9,97,8.2,16.1,0,1910,6727,5,-3.2,1.4
De'Andre Hunter,4,2019,123,157,46,105,73,41,67,89,19,0,52,141,75,22,22,579,38,79,82,32.5,21.2,52,7.7,21.2,0,1860,11745,7,-1.3,1.2
Jaren Jackson Jr.,4,2018,106,133,38,96,30,32,20,23,31,0,52,151,39,21,105,382,35,83,98.6,21.9,18.3,62,4,16.3,0,1307,13886,8,1.4,1.1
Patrick Williams,4,2020,62,74,16,50,28,25,26,46,25,7,37,78,29,29,30,268,29,80,95,22.4,18.4,50,4.5,11.9,0,1130,9148,6,-1.7,1.3
Scottie Barnes,4,2021,41,66,11,40,42,26,26,40,19,2,35,61,98,35,11,248,24,81,99,24.8,19.5,59,4.7,10.1,0,1038,12323,5,2,1.2
Keegan Murray,4,2022,142,190,66,166,133,77,45,66,63,4,100,203,52,45,68,822,35,80,35.6,31.9,21.4,39,4.5,12.9,0,1938,8429,4,0.8,1.4
Stephon Castle,4,2024,83,110,20,75,71,52,23,43,23,3,57,102,99,27,18,377,34,78,98.2,26.9,19.3,51,6.3,20.4,0,1502,4111,2,2.2,1.8
Kon Knueppel,4,2025,117,128,84,207,75,42,20,29,2,3,40,116,107,40,6,563,39,79,97,30.5,19.5,53,7.2,23.6,0,1982,2511,1,5,2.2
DeMarcus Cousins,5,2010,162,268,1,6,91,41,57,106,53,4,154,220,38,37,67,575,38,83,99.6,23.5,19.3,78,6.2,16.6,0,1560,19489,11,0.5,1
Thomas Robinson,5,2012,163,239,7,14,99,80,80,149,70,13,113,350,72,42,34,692,39,81,94.6,31.8,20.9,104,8.1,17.5,0,2088,4299,5,-4.1,1.6
Alex Len,5,2013,105,153,1,8,60,43,45,97,67,4,109,189,37,8,78,452,38,85,0,26.4,19.6,60,4.5,8.7,0,1687,11863,12,-2.6,1.1
Kris Dunn,5,2016,132,190,42,113,72,56,42,96,27,2,36,140,206,82,20,542,33,76,97,33,21.8,116,6.4,7.2,0,1896,11782,10,-0.3,1.1
De'Aaron Fox,5,2017,156,211,17,69,111,71,66,110,20,1,21,122,165,53,7,601,36,75,99,29.6,19.1,87,6.5,16.5,0,1982,20118,9,1.7,1
Trae Young,5,2018,236,274,118,327,105,96,38,51,0,0,14,111,277,54,8,876,32,74,95.6,35.4,19.3,167,6.9,7.5,0,2157,18130,8,2.1,1.1
Darius Garland,5,2019,12,16,11,23,10,6,8,7,0,0,2,17,13,4,2,81,5,74,97.4,27.8,18.8,15,0.2,-0.9,0,264,14785,7,1.6,1.2
Isaac Okoro,5,2020,90,134,20,70,82,44,4,21,19,4,53,71,57,26,25,360,28,78,93,31.4,19,55,4.9,9.6,0,1548,10879,6,-0.4,1.2
Jalen Suggs,5,2021,86,114,35,104,88,55,22,28,9,1,18,142,136,57,10,429,30,76,98.2,28.9,19.7,88,5,19.7,0,1606,7355,5,1,1.5
Jaden Ivey,5,2022,154,207,64,179,82,49,29,71,28,3,24,152,110,33,20,624,36,76,84.4,31.4,20,94,6.1,13.5,0,1885,5995,4,-1.9,1.5
Ace Bailey,5,2025,74,107,47,136,40,39,92,108,24,2,62,153,38,30,38,527,30,82,99.8,33.3,18.4,61,8,5.2,0,1740,2031,1,0.5,2.1
Ekpe Udoh,6,2010,110,159,7,26,48,29,100,149,30,2,126,214,96,29,131,487,35,82,47.4,35.5,22.3,86,7.1,15,0,2081,5730,7,-2.5,1.5
Damian Lillard,6,2012,215,243,86,217,85,67,31,56,13,4,16,128,123,45,7,731,30,74,57.4,35.3,21.5,69,-1.9,2.7,0,1773,35134,13,4.3,0.8
Willie Cauley-Stein,6,2015,79,128,0,0,37,30,30,66,69,5,89,162,38,47,67,349,39,84,91.6,25.9,21.5,48,6.6,25.2,0,1606,9229,7,-1.3,1.2
Marcus Smart,6,2014,182,250,49,164,62,30,36,77,16,2,44,139,148,89,18,557,31,76,98.2,32.7,20.3,82,5.8,13.5,0,1761,23933,12,1.6,0.9
Nerlens Noel,6,2013,55,104,0,0,28,21,22,45,48,2,65,162,38,50,106,251,24,82,100,31.9,18.7,45,3.8,10.1,0,1303,10385,9,-1,1.2
Buddy Hield,6,2016,176,200,147,322,101,55,35,66,18,4,46,166,75,42,18,925,37,76,69,35.4,23.1,113,8.3,14,0,2312,21319,10,-1.1,0.9
Jonathan Isaac,6,2017,92,118,31,89,39,29,26,34,34,5,56,195,37,37,49,383,32,82,98.6,26.2,19.3,48,7.1,12.3,0,1515,6479,7,1.8,1.4
Mo Bamba,6,2018,81,119,14,51,44,31,23,52,65,3,96,220,15,23,109,387,30,83,99.6,30.2,19.7,46,7.3,8.6,0,1506,6103,8,-2.1,1.5
Jarrett Culver,6,2019,147,208,49,161,119,73,58,111,28,1,54,189,141,55,21,704,38,77,37.8,32.4,19.9,103,7.4,18.3,0,2074,2493,4,-2.4,1.9
Onyeka Okongwu,6,2020,103,143,1,4,77,48,39,55,58,3,92,150,30,34,76,456,28,81,95.2,30.6,19.1,56,4.8,7.2,0,1498,9535,6,1.3,1.3
Bennedict Mathurin,6,2022,136,178,83,223,73,59,24,62,38,4,51,157,94,36,10,655,37,78,77,32.5,19.6,66,4.4,16.3,1,2180,7945,4,-0.9,1.4
Anthony Black,6,2023,134,190,28,93,69,53,28,60,24,2,45,137,141,74,22,460,36,79,96.6,34.4,19,109,6.9,11.3,0,2161,4859,3,-0.2,1.7
Tre Johnson,6,2025,121,139,89,224,51,35,77,127,7,4,11,92,90,31,10,658,33,78,99.2,34.7,18.9,60,8.3,9.7,0,1951,1390,1,1.1,2.3
Greg Monroe,7,2010,138,209,7,27,133,83,33,69,21,1,74,254,128,42,52,549,34,83,98.6,34.2,20.3,112,8.4,13.5,0,1939,17863,10,-0.1,1
Harrison Barnes,7,2012,141,195,49,137,32,24,113,180,34,0,74,124,43,41,13,648,38,80,100,29.2,19.7,74,5.9,16.6,0,2003,34940,14,-0.8,0.8
Ben McLemore,7,2013,120,138,73,174,46,35,35,65,44,1,47,145,73,37,25,589,37,77,92.4,32.2,20,77,5.7,16.7,0,2018,12656,9,-3.1,1.1
Julius Randle,7,2014,204,289,3,18,95,62,61,115,37,3,140,277,57,20,31,599,40,81,99.8,30.8,19.2,101,7.4,13.5,0,2020,26177,12,-0.3,0.9
Jamal Murray,7,2016,119,152,113,277,59,33,54,96,18,1,53,133,79,35,11,720,36,76,98.2,35.2,18.9,84,6,14.8,0,2161,22197,9,1.6,1
Lauri Markkanen,7,2017,137,164,69,163,45,31,51,62,20,4,88,178,32,15,19,576,37,84,93,30.8,19.7,40,5.2,13.4,1,1909,15319,9,2,1
Wendell Carter Jr.,7,2018,124,168,19,46,64,53,40,57,56,2,109,226,74,30,76,501,37,82,98.8,26.8,18.8,75,7,17.9,0,1746,12779,8,0.4,1.2
Coby White,7,2019,104,130,82,233,61,32,40,72,5,1,12,112,143,38,11,562,35,77,95.2,28.6,19,94,9,16.8,0,1878,13959,7,0.4,1.1
Donovan Clingan,7,2024,81,139,2,8,109,63,27,32,48,4,87,171,53,18,86,455,35,86,90.2,22.5,20,28,6,20.4,0,1296,3318,2,3.2,1.9
Jeremiah Fears,7,2025,183,215,38,134,88,85,45,53,9,1,25,116,140,56,4,581,34,76,87.4,30.2,18.3,116,7.3,8.6,0,1798,2137,1,0.7,2.2
Al-Farouq Aminu,8,2010,139,199,18,66,66,59,37,98,46,2,133,199,41,44,44,491,31,81,98.4,31.3,20.3,99,7.3,8.9,0,1708,18743,11,0.1,1
Brandon Knight,8,2011,136,171,87,231,60,51,65,100,5,1,25,128,159,25,8,657,38,75,99.2,35.9,19.2,120,6.7,16.3,0,2254,13132,9,-2.5,1.1
Terrence Ross,8,2012,72,94,72,194,38,21,83,106,22,6,48,177,49,44,33,574,35,78,93.8,31.1,21,70,4.1,7.6,0,1918,18799,11,-2,1
Kentavious Caldwell-Pope,8,2013,135,169,84,225,48,30,39,73,15,1,37,189,58,65,17,591,32,77,97.8,33.9,19.9,64,4.2,2.6,0,1695,30137,13,0,0.8
Nik Stauskas,8,2014,168,204,92,208,38,32,40,59,15,2,15,90,118,20,11,630,36,78,78.2,35.6,20.3,67,7.8,14.1,0,2000,6683,6,-3.6,1.4
Stanley Johnson,8,2015,132,178,43,116,48,55,67,88,16,0,75,172,63,57,15,523,38,78,99.6,28.4,18.7,82,5.3,19.9,0,1790,8948,8,-1.8,1.2
Marquese Chriss,8,2016,89,130,21,60,50,30,56,77,52,13,85,98,26,32,55,470,34,81,88.6,24.9,18.6,69,5.4,6.2,0,1652,5349,6,-2.7,1.5
Collin Sexton,8,2018,196,252,44,131,98,76,49,75,5,3,34,90,119,28,3,632,33,75,99.2,29.9,19,92,6.8,6.8,0,1729,13716,8,-2.2,1.1
Obi Toppin,8,2020,99,141,32,82,60,27,46,57,107,8,37,197,67,30,38,621,31,81,0,31.6,21.9,68,3.3,15.1,0,1662,7702,6,0,1.4
Jaxson Hayes,8,2019,74,100,0,0,31,17,18,28,74,1,56,104,9,19,71,320,32,83,79.8,23.3,18.6,29,8.4,10.3,0,1232,7378,7,-0.6,1.3
Franz Wagner,8,2021,66,79,35,102,52,30,26,39,11,0,20,163,84,35,29,349,28,81,90.2,31.7,19.4,36,6.1,13.8,1,1495,10757,5,5,1.4
Jarace Walker,8,2023,53,80,35,101,39,30,53,85,31,1,82,163,65,35,46,402,36,80,98,27.7,19.4,53,3.7,19.3,0,1613,3603,3,-2.6,1.8
Rob Dillingham,8,2024,78,98,64,144,59,51,45,59,4,0,8,86,125,33,2,486,32,75,97,23.2,19,64,4.3,10.3,0,1371,1522,2,-1.5,2.3
Egor Demin,8,2025,57,82,42,154,52,30,20,37,12,1,10,118,180,38,12,351,33,81,95.4,27.5,18.9,97,7.2,13.1,1,1543,1335,1,2.4,2.4
Gordon Hayward,9,2010,179,216,47,160,70,38,34,43,19,1,72,233,62,40,30,572,37,81,0,33.5,20.3,85,5.5,13.5,0,1978,26507,14,1,0.9
Kemba Walker,9,2011,258,315,75,227,112,81,126,190,3,0,53,170,184,77,7,965,41,73,97.8,37.6,20.7,93,8.2,13.7,0,2503,25633,12,1.5,1
Andre Drummond,9,2012,26,88,0,2,50,46,27,78,80,9,114,143,15,28,92,340,34,82,83.4,28.4,18.4,52,6.3,8.9,0,1535,25659,14,1,0.9
Frank Kaminsky,9,2015,156,200,42,101,106,40,88,119,31,3,58,262,103,33,57,732,39,84,51.8,33.6,21.8,63,8.3,21,0,1941,8352,8,-1.1,1.3
Trey Burke,9,2013,132,164,74,193,58,38,109,137,9,0,20,102,252,61,20,706,38,72,81.6,35.4,20.2,81,8,16.9,0,2150,10545,9,-2.5,1.2
Noah Vonleh,9,2014,96,134,16,33,49,46,24,37,24,3,71,198,18,26,41,338,30,82,98,26.5,18.4,64,4.5,6.9,0,1346,5951,8,-1.6,1.4
Jakob Poeltl,9,2016,161,231,0,0,167,83,23,39,32,2,99,218,67,21,53,605,35,84,0,30.6,20.3,70,5.9,9.7,1,1792,14823,10,1.8,1.1
Dennis Smith Jr.,9,2017,143,200,55,153,81,58,33,74,22,0,26,120,197,62,14,580,32,75,98.8,34.8,19.1,108,5.7,2.4,0,1993,7559,7,-1.6,1.3
Rui Hachimura,9,2019,164,222,15,36,127,70,75,96,58,2,51,188,57,35,27,729,37,80,70.6,30.2,20.9,68,4.5,22.3,1,1988,12142,7,-1.7,1.1
Davion Mitchell,9,2021,43,66,63,141,68,41,25,32,2,0,14,66,165,57,11,422,30,74,88.4,32.5,22.4,73,4.9,18.4,0,1676,8828,5,-1.2,1.3
Kevin Knox,9,2018,127,164,57,167,47,32,75,99,18,2,33,167,53,31,10,578,37,81,98,32.4,18.4,85,7,11,0,2088,5674,7,-3.8,1.5
Zach Edey,9,2024,310,436,1,2,105,49,117,147,113,7,181,293,79,11,84,983,39,88,14.6,32,21.7,90,8.2,17.8,0,2118,1797,2,2.9,2.2
Jeremy Sochan,9,2022,53,90,24,81,36,12,25,37,15,5,59,132,53,38,21,277,30,81,77.6,25.1,18.7,47,5.7,16.8,1,1303,5407,4,-0.9,1.6
Taylor Hendricks,9,2023,86,110,61,155,52,47,35,59,36,1,80,157,46,31,57,515,34,81,87.8,34.6,19.2,48,3.4,8.6,0,1948,2062,3,-0.5,2.1
Collin Murray-Boyles,9,2025,133,188,9,34,133,65,30,46,26,4,71,193,77,47,43,538,32,80,82.2,30.6,19.6,78,7.8,5.3,0,1630,1250,1,1.1,2.4
Jimmer Fredette,10,2011,250,280,121,308,107,41,112,187,2,1,23,103,155,48,1,1055,36,74,54.4,36.1,21.9,130,5.1,15.1,0,2303,3205,6,-4.1,1.8
Paul George,10,2010,110,122,58,163,52,32,22,60,18,4,54,148,86,60,24,468,28,80,61.6,33.2,20.3,89,1.3,-0.1,0,1560,35803,16,4.2,0.8
CJ McCollum,10,2013,62,73,33,64,31,29,29,38,3,0,12,48,35,17,4,287,12,75,9.8,31,21.2,32,-0.5,5.5,0,645,29870,13,1,0.8
Austin Rivers,10,2012,121,184,58,159,79,59,34,68,3,0,21,94,71,33,1,527,34,76,99.8,33.2,19.5,79,6.6,12.5,0,1920,18093,11,-2.6,0.9
Elfrid Payton,10,2014,167,283,14,54,148,75,36,101,21,3,78,122,184,75,18,619,32,75,0,36.9,19.9,121,0.7,3.6,0,2074,13828,9,-1.3,1.1
Justise Winslow,10,2015,100,156,46,110,88,50,15,70,24,1,49,203,82,52,34,492,39,78,97.6,29.1,18.9,71,8.1,20,0,1860,9288,8,0.8,1.2
Mikal Bridges,10,2018,114,134,104,239,74,45,31,44,35,7,54,158,77,61,43,706,40,79,84,32.2,21.4,54,6.8,19.5,0,2245,22933,8,1.4,1
Zach Collins,10,2017,110,148,10,21,75,28,30,29,20,4,66,164,16,18,69,390,39,84,94.2,17.2,19.2,60,2.4,20.9,0,1191,7578,8,-0.4,1.3
Jalen Smith,10,2020,111,148,32,87,65,41,22,45,49,3,99,227,25,22,73,479,31,82,97,31.2,19.8,53,6.6,11.6,0,1628,5494,6,0.7,1.5
Cam Reddish,10,2019,88,114,89,267,34,35,24,61,7,4,20,113,70,56,21,485,36,80,99.8,29.7,19.4,96,8.7,19.7,0,1937,6001,6,-2.6,1.4
Ziaire Williams,10,2021,39,49,23,79,16,22,27,48,10,1,10,81,44,17,11,214,20,80,99.2,27.9,19.3,58,5.6,5.3,0,987,5921,5,-1.2,1.5
Johnny Davis,10,2022,155,196,37,122,73,51,84,144,16,3,41,214,65,36,23,612,31,77,70.6,34.2,19.9,71,6.6,8.6,0,1778,1285,3,-3.3,2.3
Cason Wallace,10,2023,53,70,44,127,41,21,43,69,11,0,30,89,136,63,15,375,32,76,98.6,32.1,19.2,67,5.9,10.1,0,1709,6259,3,2.7,1.5
Cody Williams,10,2024,55,77,17,41,52,19,23,39,15,5,17,55,38,15,16,286,24,80,98.8,28.1,19.2,48,5.4,10.3,0,1154,2737,2,-2.9,2
Khaman Maluach,10,2025,59,77,4,16,39,26,12,7,81,10,107,150,20,8,51,335,39,86,99,21.2,18.4,30,6.7,23.6,1,1380,390,1,1.4,2.9
Cole Aldrich,11,2010,108,159,0,0,60,33,57,82,32,1,110,244,31,27,125,406,36,83,94.8,26.8,21.3,56,6.6,20.2,0,1666,3459,8,-2.5,1.7
Klay Thompson,11,2011,155,185,98,246,58,44,76,119,8,0,25,153,127,56,32,733,34,78,91.8,34.7,21,115,4.7,8.1,0,2031,34943,13,-0.1,0.8
Doug McDermott,11,2014,178,206,96,214,150,70,75,108,9,0,57,187,55,8,5,934,35,80,69.2,33.7,22.1,62,5.1,12.7,0,1921,14318,12,-3.6,1
Meyers Leonard,11,2012,93,127,1,11,58,30,60,76,51,5,73,189,43,15,60,434,32,84,94.2,31.8,19.9,68,7.3,6.3,0,1629,7595,10,-2.2,1.3
Michael Carter-Williams,11,2013,129,186,35,120,66,56,34,92,20,4,51,144,292,111,19,474,40,78,95,35.2,21.3,136,7,16.9,0,2280,10204,9,-1.5,1.2
Domantas Sabonis,11,2016,149,194,5,14,135,55,67,82,22,2,106,308,63,21,31,612,35,83,60.2,32.1,19.7,92,2.8,12.9,1,1906,20839,10,1.7,1
Myles Turner,11,2015,94,112,17,62,29,12,60,81,11,2,44,178,20,10,89,345,34,83,99,22.2,18.8,47,6.7,12.8,0,1189,22217,11,1.3,0.9
Cameron Johnson,11,2019,90,110,96,210,58,26,48,66,9,1,66,142,86,43,10,608,36,81,55.4,29.9,22.9,54,8.4,16.8,0,2030,11512,7,1.1,1.1
Malik Monk,11,2017,148,180,104,262,48,35,75,112,24,4,12,83,87,36,19,754,38,75,98,32.1,19,76,7.1,16.5,0,2257,13414,9,-2.4,1.1
Shai Gilgeous-Alexander,11,2018,143,174,23,57,97,74,52,86,11,0,33,120,189,61,18,532,37,78,94,33.7,19.5,99,7.2,11,0,2164,19162,8,5.5,1.1
Devin Vassell,11,2020,48,65,44,106,25,20,49,66,26,2,38,114,49,42,29,380,30,79,60.2,28.7,19.4,23,5.5,11.9,0,1486,10341,6,0.2,1.3
James Bouknight,11,2021,63,81,22,75,40,27,24,41,12,0,23,62,27,17,4,281,15,77,86.8,31.7,20.4,42,4.3,9.1,0,784,901,3,-1.5,2.5
Cedric Coward,11,2025,26,31,12,30,13,5,8,4,1,0,11,31,22,5,10,106,6,78,0,33,21.2,13,0.5,1.6,0,373,1575,1,0.2,2.2
Jett Howard,11,2023,60,75,78,212,23,18,30,42,6,0,8,74,59,12,19,412,29,80,91.8,31.7,19.3,37,5.2,7.8,0,1552,1426,3,-2.1,2.3
Xavier Henry,12,2010,90,115,69,165,43,30,33,66,17,0,43,114,53,54,18,483,36,78,99,27.5,19.3,69,6.8,20.2,0,1714,2878,5,-2.4,1.8
Alec Burks,12,2011,245,298,28,95,96,62,93,142,26,2,87,152,110,40,11,759,37,78,61.4,31.6,19.5,97,4.9,8.1,0,2017,17997,14,-1.6,0.9
Jeremy Lamb,12,2012,98,121,71,211,44,17,79,79,23,1,32,134,58,42,21,603,34,77,83,37.2,19.6,68,6.4,8.9,0,2024,11871,10,-0.2,1.1
Taurean Prince,12,2016,110,143,53,147,64,44,52,104,14,1,76,120,76,40,24,529,33,80,62.6,30.8,21.8,88,7.1,11,0,1699,15626,10,-2.4,1
Steven Adams,12,2013,31,70,0,0,56,40,15,31,29,4,90,113,20,21,65,231,32,84,99.2,23.4,19.5,35,4.4,16.1,0,1132,22018,12,2.5,0.9
Trey Lyles,12,2015,75,102,4,29,41,17,44,79,28,2,65,123,38,19,16,313,36,82,97.8,23,19.2,41,6.3,25.2,0,1319,12063,10,-1.5,1.1
Luke Kennard,12,2017,160,187,88,201,52,32,94,104,3,0,43,145,91,31,13,722,37,78,96,35.5,20.6,59,7.7,15.1,0,2285,12785,9,-0.3,1.1
Miles Bridges,12,2018,93,110,71,194,54,39,54,83,30,5,43,194,90,21,26,582,34,79,97.8,31.4,19.8,67,4.9,16.3,0,1812,15420,7,-0.8,1.1
P.J. Washington,12,2019,118,178,33,78,57,43,67,82,33,4,82,183,63,30,43,531,35,80,97.2,29.3,20.4,69,7.1,16.3,0,1717,14425,7,-0.4,1.1
Tyrese Haliburton,12,2020,37,45,52,124,39,15,26,34,7,1,32,97,142,54,15,335,22,77,65.6,36.7,19.8,61,6.3,4,0,1440,12186,5,4.1,1.2
Jalen Williams,12,2022,114,141,42,106,99,60,53,82,25,2,19,127,137,39,18,594,33,78,52,34.8,20.8,69,2.6,5.9,0,2042,8899,4,1.3,1.4
